,id,date,Amount,bathrooms,sqft_living,sqft_lot,2 Bedrooms,3 Bedrooms,4 Bedrooms,5 Bedrooms
40,5547700270.0,20140715T000000,625000.0,2.5,2570.0,5520.0,0,0,1,0
41,7766200013.0,20140811T000000,775000.0,2.25,4220.0,24186.0,0,0,1,0
42,7203220400.0,20140707T000000,861990.0,2.75,3595.0,5639.0,0,0,0,1
43,9270200160.0,20141028T000000,685000.0,1.0,1570.0,2280.0,0,1,0,0
44,1432701230.0,20140729T000000,309000.0,1.0,1280.0,9656.0,0,1,0,0
45,8035350320.0,20140718T000000,488000.0,2.5,3160.0,13603.0,0,1,0,0
46,8945200830.0,20150325T000000,210490.0,1.0,990.0,8528.0,0,1,0,0
47,4178300310.0,20140716T000000,785000.0,2.5,2290.0,13416.0,0,0,1,0
48,9215400105.0,20150428T000000,450000.0,1.75,1250.0,5963.0,0,1,0,0
49,822039084.0,20150311T000000,1350000.0,2.5,2753.0,65005.0,0,1,0,0
50,5245600105.0,20140916T000000,228000.0,1.0,1190.0,9199.0,0,1,0,0
51,7231300125.0,20150217T000000,345000.0,2.5,3150.0,9134.0,0,0,0,1
52,7518505990.0,20141231T000000,600000.0,1.75,1410.0,4080.0,0,1,0,0
53,3626039271.0,20150205T000000,585000.0,1.75,1980.0,8550.0,1,0,0,0
54,4217401195.0,20150303T000000,920000.0,2.25,2730.0,6000.0,0,0,0,1
55,9822700295.0,20140512T000000,885000.0,2.5,2830.0,5000.0,0,0,1,0
56,9478500640.0,20140819T000000,292500.0,2.5,2250.0,4495.0,0,0,1,0
57,2799800710.0,20150407T000000,301000.0,2.5,2420.0,4750.0,0,1,0,0
58,7922800400.0,20140827T000000,951000.0,3.25,3250.0,14342.0,0,0,0,1
59,8079040320.0,20150223T000000,430000.0,3.0,1850.0,9976.0,0,0,1,0
60,1516000055.0,20141210T000000,650000.0,2.25,2150.0,21235.0,0,1,0,0
61,9558200045.0,20140828T000000,289000.0,1.75,1260.0,8400.0,0,1,0,0
62,5072410070.0,20141021T000000,505000.0,1.75,2519.0,8690.0,0,1,0,0
63,9528102996.0,20141207T000000,549000.0,1.75,1540.0,1044.0,0,1,0,0
64,1189001180.0,20140603T000000,425000.0,2.25,1660.0,6000.0,0,1,0,0
65,3253500160.0,20141120T000000,317625.0,2.75,2770.0,3809.0,0,1,0,0
66,3394100030.0,20140909T000000,975000.0,2.5,2720.0,11049.0,0,0,1,0
67,3717000160.0,20141009T000000,287000.0,2.5,2240.0,4648.0,0,0,1,0
68,1274500060.0,20140825T000000,204000.0,1.0,1000.0,12070.0,0,1,0,0
69,1802000060.0,20140612T000000,1330000.0,2.25,3200.0,20158.0,0,0,0,1
70,1525059190.0,20140912T000000,1040000.0,3.25,4770.0,50094.0,0,0,0,1
71,1049000060.0,20150105T000000,325000.0,2.0,1260.0,5612.0,0,1,0,0
72,8820901275.0,20140610T000000,571000.0,2.0,2750.0,7807.0,0,0,1,0
73,5416510140.0,20140710T000000,360000.0,2.5,2380.0,5000.0,0,0,1,0
74,3444100400.0,20150316T000000,349000.0,1.75,1790.0,50529.0,0,1,0,0
75,3276920270.0,20141105T000000,832500.0,4.0,3430.0,35102.0,0,0,1,0
76,4036801170.0,20141013T000000,380000.0,1.75,1760.0,7300.0,0,0,1,0
77,2391600320.0,20150420T000000,480000.0,1.0,1040.0,5060.0,0,1,0,0
78,6300000287.0,20140609T000000,410000.0,1.0,1410.0,5060.0,0,1,0,0
79,1531000030.0,20150323T000000,720000.0,2.5,3450.0,39683.0,0,0,1,0
80,5104520400.0,20141202T000000,390000.0,2.5,2350.0,5100.0,0,1,0,0
81,7437100340.0,20141222T000000,360000.0,2.5,1900.0,5889.0,0,0,1,0
82,9418400240.0,20141028T000000,355000.0,1.0,2020.0,6720.0,1,0,0,0
83,1523059105.0,20150128T000000,356000.0,1.5,1680.0,8712.0,0,1,0,0
84,1133000671.0,20140602T000000,315000.0,1.0,960.0,6634.0,0,1,0,0
85,4232902595.0,20141114T000000,940000.0,1.5,2140.0,3600.0,0,1,0,0
86,2599001200.0,20141103T000000,305000.0,2.25,2660.0,8400.0,0,0,0,1
87,3342103156.0,20140618T000000,461000.0,3.25,2770.0,6278.0,0,1,0,0
88,1332700270.0,20140519T000000,215000.0,2.25,1610.0,2040.0,1,0,0,0
89,3869900162.0,20140904T000000,335000.0,1.75,1030.0,1066.0,1,0,0,0
90,2791500270.0,20140522T000000,243500.0,2.5,1980.0,7403.0,0,0,1,0
91,5036300431.0,20150311T000000,1100000.0,2.75,3520.0,6353.0,0,0,0,1
92,4168000060.0,20150226T000000,153000.0,1.0,1200.0,10500.0,0,1,0,0
93,6021501535.0,20140725T000000,430000.0,1.5,1580.0,5000.0,0,1,0,0
94,6021501535.0,20141223T000000,700000.0,1.5,1580.0,5000.0,0,1,0,0
95,1483300570.0,20140908T000000,905000.0,2.5,3300.0,10250.0,0,0,1,0
96,3422049190.0,20150330T000000,247500.0,1.75,1960.0,15681.0,0,1,0,0
97,1099611230.0,20140912T000000,199000.0,1.5,1160.0,6400.0,0,0,1,0
98,722079104.0,20140711T000000,314000.0,1.75,1810.0,41800.0,0,1,0,0
